main_str_data,sub_str_data
FLHSDOVOVLYCISNGXRODYZMYYMLAYDQFQFLVGGXSCWYUVCAGTWWLBXVOOCEMNLAUASUQQSYPYIQSEQGLTXUYRQNQKCISTDKYEBIKNDLEVDNLMV,GXSCW
IIEHVADMJHLPMSQJQZCIERKOCYCWSFIJSEIROSAUWRNCMBCWRKRMPZREFOASCBWCYQFTLRAUWQFWUTRVFUWWMVMBYCACQQHWUKCIKDIYKVEYDLKMCRMHIUBLWPLMGMZXUCKIOYUNXDXVBJZOTP,JSEIR
VFVYGMDVGWIHEHFQBPMLPOCGOAEGFHVDAMZWHKESOTGQWXLIJNFCHLLXCYLSFCIZIKPMJIUIHXLKTQZDRXHPLNLDYLIAZFVANIYVZOOJNYUBURUAHSKVATWFVXZEYPGDRETVSUW,VZO
OLKTGUQMAEDSWOHXQGUPXYDHCYNIIEQQJMALJHWPWSDDSBVAWJKATDUGBXAWXHITOFJFFCYGHDLQGZXHJGEDEKASEQWDDMMRHCJTTGRSAEZXPCECEGTICJQGHNEFPQCUOBMSDYYAB,DUGBX
REWTWDMMJCVWPJBUEXQYQDOOIPAJFTBJKWKFCRRCVLTZWCPOYBKIQHZNHCVQRIJMHOPXFMPBEJADLWHDRPBFZBDDHKHZSKPPTFLBKEMZBWURRGCIXIWQILTLMBSOUFUEBTQ,SOUFU
EURREPCCYMVHEAYLWQSPXJJPLUIAAWINBYDMHGXHISYCZLPYYWUQWXRBGNAUETTLXZMROILYOCDGMAHEPIHXROAJYVUGYGNPHAEPWHHSBHGBHSRAOMVZKFNAAJDYJQUNOKF,MHG
WOMUNQFGOAOIDGSSPFNIGFGAHVIAVSFPLLSAUSQHDZXGARGZYQPLZEPEGIWDRLAJQZGUNJWBUQJOYIQBODNDVHFHXLLKCPXKYERPDFOUVGTDDFSDVBBWWJG,HVIA
HZSNTXLQXJKCEGKZKQXAZDLATIUZCRGSJSASQLWPBXFWPWPXJKSOLXLLXQZJWMODDCDWXEWUZXBHBPRSPHUPIEJMIEZUOXEMZKHVCMUYJOSVKMZARPXEKQMNMQPOI,PBXF
TURVJHKYHKNVZPXFAWNQBGQOVSLVLWLVSXCMEXLKTCZFEFKMQUVJIAQPGVFZFOOLQJQWVLWOTMRXAZRECTGAIARQKCMSUBWDSFGJBJDSISEWZGWP,BWD
QEJZLYXOBPKFQDMJZIKHJEBUVLDDYLZEOUUBQOAGERDWTVAWAUTGNOMJVFQOCMMIFFLEEWSPQSXTJHBBRWWBXPGFTTYVRVIQHBDPHSOVULQFXUIQLYRJSJPQHLGCIJWOFSKYTVRT,RVI
SHZZBIPRQCTINLHADNQLBFVKUERJITCCHRUWKYBMBQEDAKOBVXYUCQCKQMHFZGTSBKYDSJJUWUNKLCELSWDOORQKMSLAFFNJRXBQVCMTUQCGIFBDSZOLFUSHTYLSXTTTNR,DOO
CUXXZRVUXEOWLTKLZWAHVKNSOXWCXEONZYNHTWFKDGPSODYIFQUEBKXNLRJMULIKPDDXDTVWJIPMRSOTYNSGGJSBQSIQEPJKJVGAKOXZ,WFKDG
WPFYBCCKGMGUIZQIBSJISQCRAAABJBJPXAEQOTQTPUIGXVOTLZWBHOLLPGSRUDLRADDJTUDZWXGNBTCDJWLBBWJFMVINVLRLQXASWEIN,IZQ
MZXZKWNLIDFATXSKVVFCOSRCRZGONTFQICLBHXWGCIERSEVLVVPKZSONTYQVVNGLIADTXNRRWZRBHURJJRAJHOHXQJLHVBZKTSEQDEOEWAXVTBQURLXD,XSK
LYNTWBRDNWKOWEXUAOHCISGNCUGBQSJQTSLNPEPMOBTRGPYYILMWMXVQHJGXBCPODMDDSAYFRHZLLKKDRIIWAQOXRTOJRPQMOZKRXFGXLNHVVUJNEKTTQGXTBD,LMW
ZMBEETVLVUALWQELBAWIIYEWTUUSIXJMAONIJCYTPKRVEOZYTCPJBYVXTUORSOIHSFOAKYTDRYNYGEURNLUIJGYKKOGQYARHZKKCQRILFQYJGR,KKO
WVELGNAOFNXXXOKBYGJTYSYDNEXVSQMRURDLLXHCFNWJKDZWWYPMAZYHOPMYGRDBSOFPFOPDNPGDOVPNWBBARTTKGQOQIFJOEBRXKXLUNWNXZWDJTVXHUWYDIARD,XLUN
PEABACVIDQJCFXOSVCEEWIFUUEXIVRCXGVZUXDFHNRAFGWEDEIBMJDXWRCFMQAVLCHXYJPBWSFRBPMFJPLCCFAZLNRYPSDSINEBLCHZBGBNLZJZSYTLVFIRWRRG,BACVI
JWKRQCEWFZQDQPLGKQCHSPZXBCUOXHQLGKOOSORUMEIZBIXPZEXHEHMCQTJAJFTHMLXPQQISRVLUUQZFLVTLDKKXEFJLUDBMBICFYAWSRUTGVPWZSJRLSNUGMAAUMNIUEIQUQSSJYERW,EIZBI
RAJQMLHWMEGGXIJHZHDISZARNDJECRSISLPULEFQYZFEOSMHDMKMOGCAAPGVWENJJFSEDDKEPUYAMRCUXILOFRNAQGMTEGQCWHEWGQUJ,HZHD
TKYDWXPSPNJWYGOBYDMJHKRHBCLUJAIVSONJUDCPLOCQLUNTLLOZCPOIMRDQBJLCOHOCVLMOWAEBGBLIRUHAFDHJTUQGJXPGXUTQTPUEJZYFTUTPUOGHZEVCKVUXGTZXDOHHNJRLLYFWZQK,TZXD
XPOCTUUSVRECBYPGCDSLHUIILQVKASRLUPKWWQPKEUQQRCSKTWHDLZUFUDVKKOVKJCFLNVCCONYCIZNYGOVTSYISHTABLFMNYWIMOGDXOZPDTJMXGUMMICWXHNYFCJRQQJCWIBLOOP,ZUF
TBRITXTCHOTFMDBHYAPURRYXQGXTOSZTPOYUUXSOTZZRLLLYPEZXSNIUSVSLJYZAUMDODGLCSCDIBCQRVMQOEIGTQONHFZTOEULFLSKSNKZBTIYGZYGKHRIRGE,POYU
YCUWGRNJGCYPUYXYQPYAGHAWYBQDZZKFICCSCCOULZYXBLZMBBJAOZLLCUMNIURQQZUHRALVKSFUKEFQGZFYDQKPLAMIJIRUXNMFLERUZWDRXCYKCSQXQVIMAOTPDEZKWRXGZRTQTHCFKSTBVUOOYI,EZKW
WYWDZVUFRPJNQONYAZZPOCPBCPFXVLOCLODYWISUHHEEYJUCJUMAXIHTXRGQOFIUQLBBSWTHDCPCZIVPKTTBJAEOFTYTDJOXEHNJ,XRGQO
CPLBZYIUOMLSFYFQZHOUEWFCWKHAHCKJSBXAMWPHWRZWEVAMTKOSIIAXSKPQFFZGAYNJSVXJKGMMEDLIRMHBDJKHBEIEHBBGUAPQHGKMWAUAAPPOKYATYDAJXJAXFWGA,ZHO
NBHPFPXIQRAQOAQPOYERVJCDXDDZAASSNTVMWUURGPBVXWESZJTNHTUDVENUJDOAPJJIKCESKAYKFKTZMCVNYBLLEYPSXQSCBNMGOJFEMWMIYQ,SZJ
NVJHJCZJMIPGGRJGYZOATBNOZXGNGGVAZVRTJKDOSPAOCEMMKZFFMOVTDYACSMVKVDUZMYERPYIHGJMSKAEQBRBCRNZWNSWQCUJSMBDNBZCLWYZXRGBRPXKXOIFCPUQIWREHHRUVBPJTCBMHZYT,YACS
ZATYJBMWQFDYDMGNRYRVTJJOIATWPPSETBIZDTWRVUBRUSVFULKOHYXRDUXJKSVLFDAOATVKZQWAVLYXTNCNHBMMFMCSZQHFSKRHXIAWEOGSHXAZZJYYUJUXCPPBRBLVNI,USVF
DJXRUTNWOSKZLQCYRYJQUOHHRGNAHPJKZKBDBSVTJEWGWGMZSYDUDANVGWAQKMZSUNNZGKURIURFUEVZXHONOIKSHJSAEKCWUBOEGHFRQJFZNQRDEMPPZGKSLJHOMRUZBWVRIMHIZEAYN,HOMRU
PRDFUNBNGAHDDCVLEZUWZWTYRAMPLFIMEDMXLHZTMQWMXYMFSDIASITZBASRWGSNDTOOJRGVHHMPSJZVZUMLZPPUOGZQTXYVJYCUDGBOTWIWLHXRSCBSDECDMWNGVYLVCRFRIYWDFPXNFEVDVWE,DDC
ATDIDIJCHKPENXXYOELKZXHYVOMZUZSVKPQHAWJOIZSBXCYJWACGNQUXHLAVWWVSJANWUXSLWTXLWURGWQKTTGKFPPHPSVWPIJCSENQG,AWJ
HMGRQTPWUBEWDJFLDGXTULZPQXGPSIUYIVSEVKUDQQIXREGXSGSXUXRVDARXOKHQJHGTECGGEQHFJEXELCGGQFEINULCTBBFCUVNKNPCYEB,RVD
XRTFDEVVXYGLZQSKJUKYGZJECZRHNQDZRORDUXTTSHBDATEFZQZMTETKGPQRDGTGKSTTROYWYZTSCTZNWGOTQEBUTYUPEOIBOAUYTJK,KJU
YOLJDJJNCYZMFOKEUONYJHZBTYRNGXQVVCPMTQBUTIEQNNICIDXVUOBRYPMLKGTWMXTTQCJIDPLDXKMTLEXIMFKBUOFKCWNXMFXNVMKRUQCRHMYSWI,EUONY
DVBOLCZOSJZAOHURZSBUOPFCGOUUTCKVQZTTTVRRJCEFCBVAITNPXZIRFZVRHEYIVJANOHPYOJSNQGZDAQITBWBAQJFCKLJQNRJQVWECIHP,JFCKL
QLTQMQQJWNMQIBBKHGTCQUWTPKWBQZTGTDMFWXQADLBEUWFDLHNWYTQYONWWMKWFIDENYCCYBPLLUMCLGCQHZJPUQMWOZXYRKWEVQNEPEDMOVAFVJEIFZU,VJEIF
SDCBUZCSADOASSJFYTBRNJGKUSEBKDPQOMEUPFFLIBOIHNOUSIYEGUPTZGFOCTGNQGSHHZJLUWSDCHMKKQDVKZSWSJVOWWURTTWIDUFLAXURZYOISTGOGHZERRIGTSOVTZLJJDR,KUS
NQGWNJWOIUXAAHHAFXKEURJHRLECSBHZLDZQHLVFWAFZJFJQPTDSNEAYUZXXFTMLAFYIJGEZKRLTOKXUONBRUOFLEFWXYDWFDCBLIOZXECBJFUNMDNAOYYJXFXHR,TMLAF
NZOHEBDLMCLUTPGWWECNMXOUSDZVYKBYYMMXHOOSLQYIMHRRMEECFKWURYEWAXXMRSNYWKJUEYFKAHDHTQCNWNXAAWQFVNJRKITLMTMEHOASMPADPLVGXCAPBL,GXCAP
VYWGCPWKTQDWZHEHZQBIQNYQMPQNPDNCLMILUOXTZFWWRVZAEJDPBTXRZGMCLERPDDWXXRNLWMMTZDCWMDTNTLATIZPQQHEDJVCSFTRD,PBTX
ZXMLPNUAPRIRXCAQQMFAAMEPHMNPWZUCBMFASNXNMXNXKPKNKRRALOHBTUTUTOEQHHJNFRZIMYIIHRRTUIKPLPDQRRVFXVMOAHCGNIVXUYETXVKPDTKZCPRFDGVVGCANCATERE,NXK
TCOQQWTVGFJIPYNZHICFJNRVRMPQNQGHUVSGSUHGTUYUNIHNNXUOKOIHFJXJKKXCZGXYSBLQKFVBUEORMIZWMOAMCKRMKAILGRANKSWEXUAAOCQUFTCNCUTTXLZXJQU,ZXJQU
CONORLYZARYHXWJZWLFRCXPZZQYTHDJWHKOIRFCIFFFEMFEGFPPUBQDDBRPQNSNOAWTVYTQPIKYJAPFUJJBGVRPFVIXMZLKDQGFBFXJWWIDCDTVAAUIAENDWETNPBHTWWMMIYVNCJDYWXWJNQLIKH,FBFXJ
BHKYFLYYGLJTDPAAUVYUPJBIMNAXWDHGKFQEZFWIDWEDQTIPNTNEQVPIRZWGTJHZWATTYCXUIKBTEMDFQJJOHFUSJQHCFPWUQAOKKMXSATTMJNATXA,QJJ
KSCXRFKRENBGBDFEXSWHTMFELLEKJNSOKXOEHLHUBTNSNQOMPCTXZJHGQKSCVQSWSLZUFSJEXVNRWAAPYEWCLGWULFXNWFVRJOTPSJMXTHYEKPNVAZOABQNB,FKR
MGSOYOTWHEDPYNBOSJEKEUPSFYJQFEESXCIDLHWRWSRWVAUCWDDXOLUBZGXVGBABZREXWPLSWQUSCPGXEIJTEHQOZNWPWAHDLBHMPXJWJAONJWJMUXXLEPAGZJEALCVTDNHSOOWIY,LHWR
PHWIMORFEOVCQNVCIDWZYWXZJEAMUIJSCGZFFSTNOYOYRRIOJLTTWVQVJCTFQFCGRZKNJCWPSHCLRPXKURSDTLTNNYLFJDIYYTHWOHEPSVCOFJWMHACDMD,RIOJL
AVGHXUQYBMZMBEJPOONBKVYEKKHKXZLAGGYCMGLAPMMFLIFUGARBIYMDXZQGJMKFSNZCXZRPUDGYCNZNIIOQVWJENUCZSEPJLGXDRDQELHJCXRLLQIXUDCCVOVYVNUHYCZEKRXYWYDYJ,GYC
YDASESBSYNLPDYFUGNJVBUBQTMYSKJJDTEXPLEELLDVAWBFNKGBONMVXQQRYKIUWBNBEVBUGHOAYCLVRZUBXERTGMDOMYMWTIQOLGSBUITMBAWROXSUFPRZVMSAZPKYXKSVZPRWPIVVIGVYYZH,UBQTM
MEJYJDRQEGSCMOFFTDDQBSAFYMDGAWPJGCOJSHFIETEWLYJVPJTIBZYXQNGPYHMZXVVFCPYSOQNEHMHKLCAHSQZRVQGWKOYQCIHOLNKWAKGMNLBXYRLRYA,MEJ
GVWEBAITWDEPDAUBQHRAHDUPZOAMNZNGOQYEEGEBFTKNEDGZENJLGGZKBECCLCFONSOEFTAMPZTLDDQMUIURFEQUMWTGFBVZDLMCNOSGTKBKLKLDYSPZWRZNITVOERNXSGZOKYJ,UIU
ZLHEHVEFPCCQKTVEFYSABNKIEEFARXXCLDKCOWFPVMWKHUNJHFTAVVUCWSCHIQQSHWUEUELNUARNTGCBMHABLHWHFDIBRVJRVJAJTUVSOXCCVFIYYAXVLIPKUPDBKJSYNPCMC,JRV
SXCZQQYTCKCOMRBSLTUGTSHJIBXETXENSWTYKOFRTSQCQRAQNCOXGXGMUVHVBENLWZDDMJFCDNJRSTJTOREYMRLNYCYYLVFVMQEVSXXAHQBVHKHEZWHXCXUV,XGMU
KZVIJBNJFSZHMIZOREYAMTROVXRJXCLKXZOIJJPLVCNVDHEOCZKHKPSTHGTTORORTRYFBTSSZVMFWZUHCQKDCVHKKXQKWDZIIRKVWODCDLILZKFXHUYGMAEHGNHWNMEKWRTGKCBDVWES,KCBDV
FJXMJAIJJDBAVIMWHRACBKBVJPLOHCDLALRCSHSEDLSEQXCZQQDSBTOXADUYPPYENPGDVKFGIGTPQURSKKLWFFQLRLVIYZUKBEYFCHXMBXZHFKFVROKNMYGRJBRAZHNVFBIWGBOBEHXVZ,AZH
XNWBPOKYTJCVKYJDDBKJNHBYMZUDBYYLMTQTYHMGFMRAIAVDCZHTBWHBQYHIJVGKOLKTXQLGCDBXYOSXOGRHLQXNWMGPJCKSNBSMDPLQXNWITBZNXBIZIZRFFMHUPGUDGHE,PLQ
BVOUZJGAZIWCFOJQQWEBOOKIQGWAJVBPMDGEUNCRRYVFWFGZBFXNAJZOBZWSMLNMCEYWAGFIOHSEDIKQAHZOPRRGKSASLJEMKVCENTUFGWOMQHRPYGLSCKZSXZCIBOIXIIQQADWFNH,NAJZ
TLQPIIDNCPUBKXDGFXVWPDTHFMQAVDVSITFSXBKPMFSNWNWNBTJBQOEJBYSWMDVQOWSXQFHQABYRWBVWOMFOXCEFEWPHQWHMPRQYINKBRZXANZJTWBLCTKBVECZKDKYNMGZEUOXISDRWI,DNC
CIPPLEPULVQLVSSWLSISOQSNYBKYUHVFRPSVJQPVMLJVUGTMBNGEROIYSKKIRVOJRYCTCGEBDLJIWAQWRKXAICPQGVHNONWEIBNMREWVVOSHMANFQUXRPTSEUZVW,RKX
TALPOIYAYAIWHZKUXOZFDKTWANUTOOUJTCBUGJADIGUNQDQLMVHTKHPXXVBLEVBVWITJYZGUJPILWTQERQYKVKLETUDGURXGQFDRHRZICHJVBLPOVCPNDMVSXZUXGNXJQUGHAUGPBRMQY,HJV
CLMFDOBBJAWMCELEXBACZTNFXNERPUHZMVPQXKNXSSEXEDCVKYUJEHZPCPKYHOXIQTOJZRRQCTBYZUOVJKRYAAQDWMVKEYMEOIOXUDNTXASHUXZKWCGLSC,VKE
TSUYVVYJJXKWCWTYMJGFHIOEVHUTBUIJAGXLUQAQCENKCBHREXOVHFYHPXENYCLRKDFSYBCUXRIBFMAYPDOVPGSOAGOPOODRDNQXOFJIRSBUXGIVUBGRLPRBBCTFJHXUMGYPGYJ,YMJGF
POXAJVVMLAFACSCASBRGXPMJOEGYZTPQARTBOQTYZJJIPFTEKKDFYTNGBIRNSWTCJYQHSUMUMLVWPDKMAYXHHIPUMOQQRESYIKSWXVXNLRAMEUCYEQDOJVEXBNYCPTOQFIYPLQNFAICWRVCW,ASBRG
VTJQWELJTVYTVTSNCCIRLDBTASVDHGTBZYKATZWKWHUKEVQDODCDOSCOKTVSAFMHWVELCETSSPTKRAMHKZQQVZQEQJYERINVJETQYEGVXXUEIRPWNIFIXFWGGRYOOUUIKGIP,NIFI
PHASQYFJEYKVMNZTIZAMSHQPLKFWRJZPRBIQIDTEACALBXIOWKQSTUBWGUIJIWUTVDCDLQPQOYMPCHFCCBNPXNNQDDBFZZHBMORNSAJRKDILFCGMSHTDRVEDXCAYOPQNNJIXHDRMEBEXHDQSZEIUR,QSZEI
AADLGRJLKTTEKHRQISLHPMUPEMWLWONCHMVUJEZPHTBFYJXVJQYGBHZURSXFBHQTQNHIQLRVTUBAVWQIQJIGCFKVWMJIRHBSJHEGCIUTJTHUJDNRLSMITY,YGB
WEMGGJFLNQMBCMSQNKUBDMHKYEZDOZVACIRBRRVHOMBMULTDPRCPKNJQIHJJTBFTKKSDBZKGVWGLHDUQGOHQQCVFYEXBEZMMAQZJYGPUDGNDNXQHTWNTO,KNJQ
GNVPVEVRJQNFBFWJSBMBQNIXTLBSPGPAONDCUTHRATNSDFCTBFGIJFCJGHDNKBJQIYATAHIDVKKROOOTGFJHJOMKNRIURGPJGMMVGUOGGENCSTKZBAIXTKVORFRTRQABPYIWCMQHOPLD,WCM
SDWBEMGEOBTMGDKKLXSNTLMSCWIKTHKIHCWPZQRHPJUUOODSDYMIOBIKWXUGBKJAVXBTBEKHWJFLGGVOBXCPNIGKWXGFNOWFOPSAFQNFKFRDORZUGSJFGJBFA,KFRDO
MSNNYKBSSBKQWADCJBAPRZFDVBCVSGLIVVLTDPBJALUPQWMOOYQUFPUJZPRIGDUJGWKKLASENWDADRMGHKVYDCDTBBWVKEWGLGPOQDBIHLNAPEDXXBWEPTYIXEGPAEBTPOBO,UJGW
MYNBDXVBQCJIMIKTSPFYBKCGRFRHPUHVHRGLXZFIFALBRMAWTTVRRJYWIPKVDZMWRJQIBTQKSHLYOBFXFBFSXTJDMXLKOZOZKLVYHNVLAQFVBNKJXFGHMKHXFWUJMWPOTANWMT,QFVB
XTEVAPLTXMGKGNBIMVHZZZYJJTDGBAWNPDGJUTTPCJSYXVJCLKPMLJOLLCNOKSRURENANIPULEEAARLARAPMXHLSXATHMIBXXRNNHGBNHPRGCUVJBFHOMNCDFWLCRRUJTPDHBFEZPJVQSGDPPXA,GJU
VQLAZUHRDNXFXWCKXIUSAFQAGEEEQLVQUYMGSQJUCACPGOJFLUGLDVYWBDAAHUCUSNVGXZHUYXWMAUFJUCGMGWLUGKFFQBDGXWQSQBKVTIERNIJIYFXRFGVRUFEXMKOWCAFJ,RFGV
QICJYHPTMENWTSLRXAIWCLYZMWZOWYJWYPJUQWJSNMNVJEHZQPPNNSFKMFCFNZDRLJFSCFGSWUKQKCZEUZJLROBWDWPUWVRJFUKRISWFRI,JEH
XEBMGZPNWTGDFDWAKNIWLZPRKQQXDKUJGQFPAMVYIMIRSDNPRZSWEISGMFDOHQNKPBUZOGLXTRGCPNVUSZZCYOELFHAEUDIVKMSXMKIAHQFFMRKEHIRTMIKXEGMWSZHF,CYOE
DOONOXUBUROKXHHFGTXADTIXFOIMTFDZOQITUHQFFTQVAALMZEYSJLLSDZUJHVHOIPYWISVZODTPLLVNBNBSNWAFPYKVKTDCWITEZNIKOCSHFKWPIONJ,FDZOQ
BAHDBSMMWRFUOXDCWABTHCPRQARWTPMQFUXWSRQIBGHGHRPQQZPJVZVIFDQAFHPMSRVEBHKTIMKSXDIDKHPLZSXGUJMNSHLSYWUDOYMRGBULBVAZSIYPFBLRDACHVFRSREXQWKKGQPPSYOPQQQUSP,UJMNS
RAKEKTNGHMXAMVUATTKOENFRGHOMFCAIEIAGPTPVPKQNDVQWQRTFETLGYCHICJSKXVHMURFKGSCWBLIBBZIAKEQMWIAEDYIYOBPGANGWEHNZSMDLTHNKECRBSXMTZ,CWBL
FIISGSRRWPARWUNXPYDONGXVMCNXHBPYMHOEHROZFAZCXDRNKQTYCDRDQSBQCYNYUKZGKCFYJCRHUFOCHPNUELOLLBULGQMPXBHPYUYILRXVJBMNSIQUIAKWQJIHO,NSI
FHBLNCAKVSOANWYZTKDSFXSVURVQZKWJLNDNLCKADONGIIURTWFZRZSFJLBJMBQESEFNNMBNRIDTGWOZAGRSOIJFVJIJQNITBVQNLGRSFSKMGIBIUEEHKZDQSVWP,WOZA
KKNHVXXEPEILYXHXCNTUISBITFGHMQTBIUCDIYHAKZRKUQOAYXAXIWWCVHVAEKJHEXOIUUFAKARZPTVJFVHFXXBCEPWKUTUTORPPLT,KAR
QZAWGUVVSKCPRHNLBKOWCKGHHBSOPNGBTRTJNCOEZILPPUCYMJJWCDDFRTXVYZDHICNHGXHWIRTCJOUMKDYJHPISUQRPXLINSUMVNRGDNLUFNCCJQQBKRC,KOW
EWENCYWYADNSBINQNHJUEJAOKWLHCPAPLSRDFJMKUQQWKURIIAIDONXOFYLTQGJFBWJWSVTFTUAUGHRHRYHLHWBVOOOTYSQXLJVULOYNDJGVNHZIYOKDAFJIOHFVAULWZJQRWYP,VOO
CCHEXIBKDGRBTLCZXYVNHFTJBTDKPRHYRDIRQVQTKKTIQENJDVRJRCFCHQRFUQAWNFEWBVUSYGXYKSEFCXLXMYLOALXJVKOUMSZRBAOMKSJMPFEJ,DVRJR
LUFYUZREIRJXMWVKUEMMXJWMSULPMOQSZXHRXAHFTDFZMZEVTGLIXJFSOQSXKYUFJHHKRBGOPYWBSHVXVNCCBKZEYSYLDALPLCGNVDVSGCDSJHHHTQRMUDBFURCOOLPJDEFXDBJCVSBAJLOCFIR,KZEYS
KGNDUAWWPTTPYLXSFAVTRDPOWEJIPWLORGDYKMJCEJNMMIHAROMJVVSTUQPUHSMCCCYHSHRSUNGPBLXMCGKJQWMCTNVGVLTMULNYGNACCXHKCTOVHXFSPXQIDFSA,CCXHK
VPYDLWPPCCFWJZQOUXRPHJARAXKWHDKFIDFFGXZHAVHPZSOBMRZVYUVHCUOMNEPCBCHYLVKOFHZEFYJPUZOGTZOAMIIFYKIMUXRLGAMJRBPRBGNFISVXZNSPMMDISSVVSUMNJMOFHLCOOFUPXAIZKY,FHLC
ROURLAFLNTZLEOJLSESAOXRWLILGMNIMJNHHKLEZVKPKNRENPKTMFPGDSFONNAXUPCCQNPSTNMMGKDMNJVWEFAWTTQMZEWYNHLGAPQHLWJSKGTCOUOXSCVROE,WYNHL
LQHGDDRSDNETLGNVMKUWFRPZMKMFJSWMRUPGCTLFFWUPVWKYAXDXEWAJJBVMOLMUXMJFHHJBIKEDYEGYXHKQYBLYRYZINQWIFYUXFXPGNHACLZMPXON,YRY
EMIETEFXSFPRDXOVOENHQSTYWZTZDYSJNFQPHPHJIZXJPUUCPXWWYBNURWTXKNFJVXKBATKUSTFKIDZBVWZRTXFGNSOSHICZJZMDORERHVTCZTOBAHXBRNVGGRFRTYJIJSVNIELGZNKVTHGSSO,FQPH
LMNCHCIUPOCCQFJZXOESRGUDUAOEVWAUOHHMSUOZMNXGQNYODYXFYZVJQDTMRREWZZARJPFFIDJCNMHYEAIPKFCHSFQIGEBXFWXCKMABZOCLDQKUILDSTRJ,LMN
EJUODEXCQFUPYNVBBOKOHZUMRFEYPSJIVWAEKIPVKRMGONBDUYNGYOKASRVATMETPWMSPCGZMRMZFRDHBIZMJSAXGBWVIQXHMFMNIEVLIRINLZGNDVSTILARSPVOUFKLMEFST,NLZGN
IOYDWTHGYAEXJKUDFUJDPPAUSTQKSEDROBJOACOZYLXUMFDLZCMIIJACEJUASVMLIHPIPCCYCBJWLOUDAYRLDLDHRTDZMLVUTKBCNVSYTLZVELTRJKNFPSPOSYJCUMMBNFPHSSWVXPQFBBLJEGRSB,COZY
NWJDRORFSRTEUXNCWJWMPMQJMPRCQTXNJOMKFTEFBCUGPSPGFKXQZCZCYXRAOUFPMYUYPDMJHXZIQDXNBWQCJTJBVMCWYDVYVEOKXBKUXMMCYCNSPCZVGQGBMFVMMYOVALSKJSTQXNRWAKFWEESP,FTEFB
HSZTGRLDCKDKKSYSBSJVPUKSSKFRSCLYJQNCLFGJSROXMYSBSHSPMDKZOSQISESZXREXEVBLUMQPTCNQXJWNBCVUTOEXYIZQDFDKYHOQHGMFIZWINNDEQNFE,RLDCK
QPNFILVBUPULGYHSXTIYXVMDIDBTVCVSYPYKYDVMHOFPCSRWEHQIWXUIFEBAXHFZMWLXPAGPKHKKLCFFZCZGXNCRZIERHVKLEBRYUQYOHDLRHLQOVPXLBBQUFMAKGZFQFCVQTSRQUGQCTODW,QUF
